Image,Dice PCA1,IoU PCA1,Dice PCA2,IoU PCA2,Dice PCA3,IoU PCA3,Dice PCA4,IoU PCA4,Dice PCA5,IoU PCA5
ISIC_0015040,0.1395560097655141,0.07501220703125,0.1395560097655141,0.07501220703125,0.1395560097655141,0.07501220703125,0.1395560097655141,0.07501220703125,0.1395560097655141,0.07501220703125
ISIC_0012510,0.9622169437846397,0.92718505859375,0.9622169437846397,0.92718505859375,0.9622169437846397,0.92718505859375,0.9622169437846397,0.92718505859375,0.9622169437846397,0.92718505859375
ISIC_0015157,0.49839611401338096,0.3319091796875,0.49839611401338096,0.3319091796875,0.49839611401338096,0.3319091796875,0.49839611401338096,0.3319091796875,0.49839611401338096,0.3319091796875
ISIC_0012272,0.8500050776886361,0.7391381137407277,0.8123363398312482,0.6839784419402254,0.8823405154203633,0.7894537894537894,0.8571428571428571,0.75,0.8812486817127189,0.7877073906485671
ISIC_0014336,0.008192142990132191,0.004112918302486446,0.008192142990132191,0.004112918302486446,0.00338282277767337,0.001694277108433735,0.003374578177727784,0.0016901408450704226,0.005597014925373134,0.002806361085126286
ISIC_0015163,0.5197422917625403,0.3511160853074675,0.5196944597828088,0.3510724277276966,0.5197422917625403,0.3511160853074675,0.5196944597828088,0.3510724277276966,0.5196299535140608,0.3510135555279194
ISIC_0015982,0.26991150442477874,0.15601023017902813,0.2721995800913919,0.15754110078627592,0.27727791154479786,0.16095336177725467,0.27815243669678075,0.16154300916346437,0.28915343915343916,0.16901190660275245
ISIC_0013269,0.05549523464832911,0.02853952103238615,0.05546177959971063,0.028521825396825396,0.05546846738212951,0.028525362768200422,0.055545492966250075,0.02856610569459107,0.05549858237316764,0.02854129180368555
ISIC_0015176,0.7309062742060418,0.575927734375,0.7309062742060418,0.575927734375,0.7309062742060418,0.575927734375,0.7309062742060418,0.575927734375,0.7309062742060418,0.575927734375
ISIC_0012240,0.5656362203345302,0.39434641919531105,0.5655124108041851,0.39422607421875,0.5656609887463327,0.3943704970081817,0.5655371683740478,0.394250137337484,0.5656114540916852,0.3943223443223443
ISIC_0016055,0.4316863947860258,0.27525514881134266,0.432515484707351,0.27592966979109235,0.4319347878206665,0.2754571585835729,0.4317277737838485,0.27528879652832955,0.43176916071514165,0.27532245247264503
ISIC_0012273,0.5053362142342697,0.3380935693008586,0.49846782431052095,0.33197278911564626,0.5167580743449116,0.3483976992604766,0.5701688638067105,0.39876657415972866,0.5128938047598335,0.344893865953535
ISIC_0013291,0.10359494260910097,0.05462701241243702,0.10315618472963564,0.05438306722946106,0.10356477166821994,0.05461023404386019,0.1031741426333198,0.0543930494371023,0.10360097890688731,0.05463036932341916
ISIC_0015395,0.4154738878143133,0.26220703125,0.4154738878143133,0.26220703125,0.4154738878143133,0.26220703125,0.4154738878143133,0.26220703125,0.4154738878143133,0.26220703125
ISIC_0012216,0.2900790166812994,0.1696446909016225,0.23947858472998138,0.13602707848529724,0.27517376581714487,0.1595370944410002,0.2662091385226657,0.15354166666666666,0.28450405930109424,0.16584362139917697
ISIC_0016043,0.06165520512212473,0.031808172253486665,0.06164789567279194,0.031804281345565746,0.06165155018080503,0.031806226680530916,0.28242320819112626,0.16443119721808247,0.30230414746543777,0.1780673181324647
ISIC_0014912,0.5742505330026542,0.40277099609375,0.5742505330026542,0.40277099609375,0.5742505330026542,0.40277099609375,0.5742505330026542,0.40277099609375,0.5742505330026542,0.40277099609375
ISIC_0015060,0.4883403997577226,0.32304918361214063,0.49890174256845804,0.3323578187493903,0.4887576652282535,0.3234144875263,0.48990248022729016,0.3244177768737923,0.49165120593692024,0.32595325953259535
